중앙,중앙치매센터,서울특별시 중구 을지로 245 (을지로 6가 18-79) 국립중앙의료원 중앙치매센터 ,1666-0921
안심센터,금천구 치매안심센터,"서울 금천구 시흥대로123길 11 (독산동, 독산1동주민센터) 6층, 7 층",02-3281-9082
안심센터,영등포구 치매안심센터,서울 영등포구 당산로29길 9 (당산동3가) 3층,02-831-0855
안심센터,동작구 치매안심센터,"서울 동작구 남부순환로 2025 (사당동, 동작구치매안심센터) 동작구치매안심센터",02-598-6088
안심센터,관악구 치매안심센터,"서울 관악구 관악로 145 (봉천동, 관악구청) 별관 3, 4층",02-879-4910
안심센터,서초구 치매안심센터,"서울 서초구 염곡말길 9 (염곡동, 내곡동종합시설) 4층",02-591-1833
안심센터,강남구 치매안심심센터,"서울 강남구 선릉로108길 27 (삼성동, 강남구치매지원센터) 4층, 5층",02-568-4203
안심센터,송파구 치매안심센터,"서울 송파구 충민로 184 (장지동, 구립송파노인요양센터) 송파구 치매안심센터(지하1층, 지상1층)",02-2147-5050
안심센터,강동구 치매안심센터,"서울 강동구 성내로 45 (성내동, 강동구보건소) 별관 강동구치매안심센터",02-489-1130
안심센터,부산시 중구 치매안심센터,부산 중구 흑교로 48 (보수동1가) 중구복합건강센터 2층,051-600-4688
안심센터,부산시 서구 치매안심센터,부산 서구 구덕로 127 (토성동5가) 서구가족센터 4층,051-240-4912
안심센터,부산시 동구 치매안심센터,"부산 동구 구청로 14 (수정동, 동구보훈회관) 5~6층",051-440-6441
안심센터,부산시 영도구 치매안심센터,"부산 영도구 태종로 423 (청학동, 영도구청) 영도구 보건소 신관 1층",051-419-4935
안심센터,부산시 진구 치매안심센터,부산 부산진구 새싹로 253 (초읍동) 부산진구 치매안심센터,051-605-6107
안심센터,부산시 동래구 치매안심센터,"부산 동래구 명륜로187번길 56 (명륜동, 동래구보건소) 4층 치매안심센터",051-550-6707
안심센터,부산시 남구 치매안심센터,"부산 남구 수영로 155 (대연동, 부산광역시남구 치매안심센터) 1층",051-607-3781
안심센터,부산시 북구 치매안심센터,부산 북구 덕천동 139-3 행복키움센터 4층 치매안심센터,051-309-5281
안심센터,부산시 해운대구 치매안심센터,"부산 해운대구 양운로37번길 59 (좌동, 해운대구보건소) 2관 치매안심센터",051-749-0770
안심센터,부산시 사하구 치매안심센터,부산 사하구 까치고개로 50-10 (실버힐링센터 2-3층) 실버힐링센터,051-220-5971~5
안심센터,부산시 금정구 치매안심센터,"부산 금정구 중앙대로 1777 (부곡동, 금정구청) 금정구청 별관4층 치매안심센터",051-519-5647
안심센터,부산시 강서구 치매안심센터,"부산 강서구 낙동북로102번길 76 (강동동, 강동보건지소) 2층 치매안심센터",051-970-2610
안심센터,부산시 연제구 치매안심센터,부산 연제구 거제시장로22번길 70 (거제동) 1층,051-665-5460~8
안심센터,부산시 수영구 치매안심센터,"부산 수영구 수영로 637-5 (광안동, 수영구 보건소) 별관, 수영구치매안심센터",051-610-4901
안심센터,부산시 사상구 치매안심센터,부산광역시 사상구 감전동 학감대로 242 사상구 보건소 2층,051-310-4853
안심센터,부산시 기장군 치매안심센터,"부산 기장군 정관읍 용수로 11 (용수리, 정관보건지소) 정관보건지소",051-709-2982
안심센터,대구시 중구 치매안심센터,"대구 중구 태평로 45 (태평로3가, 중구보건소) 3층 중구치매안심센터",053-661-3911
안심센터,대구시 동구 치매안심센터,"대구 동구 동촌로 79 (검사동, 동구보건소) 4층 치매안심센터",053-662-3218
안심센터,대구시 서구 치매안심센터,대구 서구 북비산로71길 7 (비산동) 서구치매안심센터,053-663-3811
안심센터,대구시 남구 치매안심센터,"대구 남구 영선길 34 (대명동, 남구 보건소) 5층 치매안심센터",053-664-3703~3707
안심센터,대구시 북구 치매안심센터,"대구 북구 성북로 49 (침산동, 북구보건소) 5층",053-665-4256
안심센터,대구시 수성구 치매안심센터,"대구 수성구 수성로 213 (중동, 수성구보건소) 별관 2~3층",053-666-3181
안심센터,대구시 달서구 치매안심센터,"대구 달서구 와룡로 106(본리동, 달서구 치매안심센터) 달서구치매안심센터",053-667-5771
안심센터,대구시 달성군 치매안심센터,대구 달성군 현풍읍 현풍중앙로 27 (하리) 달성군보건소 5층 달성군치매안심센터,053-668-3841
안심센터,인천시 중구 치매안심센터,"인천 중구 참외전로72번길 21 (전동, 중구보건소) 4층 중구치매안심센터",032-760-6063~8
안심센터,인천시 동구 치매안심센터,인천 동구 방축로 193 (송림동) 동구치매안심센터,032-772-6307
안심센터,인천시 미추홀구 치매안심센터,인천 미추홀구 경인로34번길 20 (숭의동) 5층 미추홀구치매안심센터,032-728-6520
안심센터,인천시 옹진군 치매안심센터,"인천 미추홀구 매소홀로 120 (용현동, 옹진군청) 옹진군보건소",032-721-0520
안심센터,인천시 연수구 치매안심센터,인천 연수구 예술로20번길 15 (선학동) 연수구치매안심센터,032-749-8951
안심센터,인천시 남동구 치매안심센터,"인천 남동구 소래로 633 (만수동, 남동구청) 남동구 보건소 3층",032-453-5912
안심센터,인천시 부평구 치매안심센터,"인천 부평구 주부토로 65 (부평동, 부평4동 행정복지센터) 6층, 7층 부평구치매안심센터",032-509-1308
안심센터,인천시 계양구 치매안심센터,"인천 계양구 계양문화로 63 (계산동, 계양구보건소) 계양구 보건소 4층",032-430-7867
안심센터,인천시 서구 치매안심센터,"인천 서구 봉오재3로94번길 11 (가정동, MK타워)5층 서구치매안심센터",032-718-0630
안심센터,인천시 강화군 치매안심센터,인천 강화군 강화읍 충렬사로 26-1 (남산리) 강화군보건소 내,032-930-4057
안심센터,광주시 동구 치매안심센터,"광주 동구 서남로 14 (서석동, 서남동주민센터) 7층",062-608-3490
안심센터,광주시 서구 치매안심센터,광주 서구 상무대로884번길 17-20 (쌍촌동),062-350-4759
안심센터,광주시 남구 치매안심센터,광주 남구 효우로 80 (노대동) 남구 치매안심센터,062-607-4369
안심센터,광주시 북구 치매안심센터,광주광역시 북구 북문대로 234(동림동) 북구치매안심센터,062-410-8124
안심센터,광주시 광산구 치매안심센터,광주광역시 광산구 용아로379번길 77(산정동 1033) 광주광역시 광산구 용아로379번길 77(산정동 1033) 광산구치매안심센터,062-960-6930
안심센터,대전광역시 동구 치매안심센터,대전 동구 현암로 22 (삼성동),042-621-6011
안심센터,대전광역시 중구 치매안심센터,"대전 중구 중앙로 100 (대흥동, 중구청 제3별관 1층) 중구치매안심센터",042-288-8180
안심센터,대전광역시 서구 치매안심센터,"대전 서구 둔산서로 100 (둔산동, 서구청) 건강체련관 3층",042-288-4470
안심센터,대전광역시 유성구 치매안심센터,대전 유성구 박산로 177 (구암동) 유성구보건소 2층,042-611-5018
안심센터,대전광역시 대덕구 치매안심센터,"대전 대덕구 동춘당로 187 (법동, 법2동주민센터) 3층",042-608-5426
안심센터,울산시 중구 치매안심센터,"울산 중구 외솔큰길 225 (남외동, 중구보건소) 2층",052-290-4366
안심센터,울산시 남구 치매안심센터,"울산 남구 삼산중로 132 (삼산동, 울산남구보건소) 남구보건소 별관",052-226-2323
안심센터,울산시 동구 치매안심센터,"울산 동구 봉수로 155 (화정동, 동구청) 보건소 1층 치매안심센터",052-209-4060
안심센터,울산시 북구 치매안심센터,"울산 북구 산업로 1018 (연암동, 보건소) 1,2층 치매안심센터",052-241-8257
안심센터,울산광역시 울주군 치매안심센터,울산 울주군 웅촌면 은현작동로 49 (검단리) 울주군 치매안심센터,052-204-2878
안심센터,세종시 치매안심센터,"세종특별자치시 조치원읍 대첩로 32 (신흥리, 세종창조경제혁신센터) 세종특별자치시보건소 별관2층 치매안심센터",044-301-2311~2318
안심센터,수원시 장안구 치매안심센터,"경기 수원시 장안구 송원로 101 (조원동, 장안보건소) 1층 치매안심센터,2층치매안심센터",031-228-5151
안심센터,수원시 권선구 치매안심센터,경기 수원시 권선구 탑동 910 권선구보건소 1층,031-228-6969
안심센터,수원시 팔달구 치매안심센터,"경기 수원시 팔달구 팔달산로 6 (교동, 팔달구 보건소) 2층 치매안심센터",031-228-7794
안심센터,수원시 영통구 치매안심센터,"경기 수원시 영통구 영통로 396 (영통동, 영통구보건소) 영통구치매안심센터",031-228-8447
안심센터,성남시 수정구 보건소치매안심센터,"경기 성남시 수정구 수정로 218 (신흥동, 수정구보건소) 3층 치매안심센터",031-729-3879
안심센터,성남시 중원구 치매안심센터,경기도 성남시 중원구 상대원1동 금상로 137 노인보건센터 4층 치매안심센터,031-739-3030
안심센터,성남시 분당구 치매안심센터,"경기도 성남시 분당구 내정로94 (정자동, 한솔마을 주공7단지 아파트) 711동 1층",031-729-4053
안심센터,의정부시 치매안심센터,경기 의정부시 범골로 128 (의정부동) 3층,031-870-6158
안심센터,안양시 만안구 치매안심센터,"경기 안양시 만안구 문예로 48 (안양동, 만안구보건소) 6층 치매안심센터",031-8045-3038
안심센터,안양시 치매안심센터,경기 안양시 동안구 관악대로 375 (관양동) 동안치매안심센터,031-8045-6801
안심센터,부천시 소사구 치매안심센터,"경기 부천시 양지로 134 (옥길동, 부천옥길엘에이치1단지) 104동 지층 사회복지시설 내",032-625-9871
안심센터,부천시 오정구 치매안심센터,경기 부천시 성오로 172 (오정동) 오정보건소 내(오정치매안심센터),032-625-9881
안심센터,부천시 원미구 치매안심센터,"경기 부천시 길주로 410 (춘의동, 부천시치매안심센터) ",032-625-9840
안심센터,광명시 치매안심센터,"경기 광명시 오리로 613 (하안동, 광명시보건소) 노인요양센터 1층 치매안심센터",02-2680-5830
안심센터,평택시 송탄 치매안심센터,경기도 평택시 경기대로 1366(송탄보건소 옆) 송탄치매안심센터,031-8024-7302
안심센터,평택시 평택 치매안심센터,경기도 평택시 중앙1로56번길 25(비전동) 2층 치매안심센터,031-8024-4399
안심센터,동두천시 치매안심센터,경기 동두천시 거북마루로 49 (생연동) 동두천시 보건소 별관 1층,031-860-3395
안심센터,안산시 상록구 치매안심센터,"경기 안산시 상록구 차돌배기로1길 5 (사동, 상록수보건소) 상록수보건소 3층",031-481-5848
안심센터,안산시 단원구 보건소 치매안심센터,"경기도 안산시 단원구 화랑로 250, 단원보건소 3층 3층 (초지동, 단원보건소)",031-481-6541
안심센터,고양시 덕양구 치매안심센터,"경기 고양시 덕양구 화중로104번길 26 (화정동, 한솔타워) 4층 고양시 덕양구 치매안심센터",031-8075-4800
안심센터,고양시 일산동구 치매안심센터,"경기도 고양시 일산동구 중앙로 1228(마두동, KT고양지사) 1층 치매안심센터",031-8075-4850
안심센터,고양시 일산서구 치매안심센터,"경기도 고양시 일산서구 고양대로 688(일산동) 스타빌딩 3,4층",031-8075-4872
안심센터,과천시 치매안심센터,"경기 과천시 관문로 69 (중앙동, 과천시청) 과천시보건소 별관1층",02-2150-3574
안심센터,구리시 치매안심센터,"경기 구리시 건원대로34번길 84 (인창동, 구리보건소) 4층",031-550-8642
안심센터,남양주시 치매안심센터,경기도 남양주시 와부읍 덕소로71번길 5 (덕소리 458-3) (덕소리 458-3),031-590-8700
안심센터,남양주시 풍양 치매안심센터,"경기 남양주시 진접읍 금강로 1509-26 (장현리, 진접읍사무소) 진접오남행정복지센터 복지동 2층",031-590-8381
안심센터,오산시 치매안심센터,"경기 오산시 경기동로 59 (오산동, 오산시보건소) 3층 치매안심센터",031-8036-6611
안심센터,시흥시 치매안심센터,경기도 시흥시 호현로 55 (대야동) 시흥보건소 5층 시흥시치매안심센터,031-310-6823
안심센터,군포시 치매안심센터,"경기 군포시 군포로 522 (당동, 군포새마을금고) 3층 치매안심센터",031-389-4982
안심센터,의왕시 치매안심센터,"경기 의왕시 오봉로 34 (고천동, 의왕시보건소) 3층 치매안심센터",031-345-3852
안심센터,하남시 치매안심센터,경기 하남시 미사강변대로 200 (망월동) 4층,031-790-6254
안심센터,용인시 처인구 치매안심센터,"경기 용인시 처인구 중부대로 1199 (삼가동, 용인시청) 처인구보건소 지하1층",031-324-2700~11
안심센터,용인시 기흥구 치매안심센터,"경기 용인시 기흥구 신갈로58번길 11 (신갈동, 신갈동주민센터및기흥구보건소) 2층,4층",031-324-6901
안심센터,용인시 수지구 치매안심센터,용인시 수지구 문정로 20 농협건물 3층 수지농협 3층,031-324-8541~8547
안심센터,파주시 치매안심센터,"경기 파주시 조리읍 봉천로 68 (봉일천리, 파주시건강증진센터) 3층 치매안심센터",031-940-3740
안심센터,이천시 치매안심센터,"경기 이천시 증신로153번길 13 (증포동, 이천시보건소) 2층",031-644-4007
안심센터,안성시 치매안심센터,"경기 안성시 강변로74번길 18 (도기동, 안성시보건소) 1층 치매안심센터",031-678-3002
안심센터,김포시 치매안심센터,"경기 김포시 사우중로73번길 52 (북변동, 래미안 프라자) 4층",031-5186-4170
안심센터,화성시 치매안심센터,경기 화성시 향남읍 상신초교길 52 (상신리) 1층 치매안심센터,031-5189-6649
안심센터,광주시 치매안심센터,"경기 광주시 초월읍 경충대로 1009-40 (쌍동리, 초월보건지소) 2층",031-762-8756
안심센터,양주시 치매안심센터,경기 양주시 화합로1426번길 90 (덕정동) 양주체육복지센터 5층,031-8082-7147
안심센터,포천시 치매안심센터,경기 포천시 삼육사로2186번길 11-15 (선단동) 2층 치매안심센터(선단보건지소 2층),031-538-4831
안심센터,여주시 치매안심센터,경기 여주시 여흥로160번길 12 (상동) 치매안심센터,031-887-3685
안심센터,연천군 치매안심센터,"경기 연천군 전곡읍 은대성로 95 (은대리, 연천군보건의료원) 4층 치매안심센터",031-839-4130
안심센터,가평군 치매안심센터,"경기 가평군 가평읍 가화로 155-18 (읍내리, 가평군보건소) 가평군보건소",031-580-2849
안심센터,양평군 치매안심센터,"경기 양평군 양평읍 중앙로111번길 34-21 (공흥리, 양평군 치매안심센터 및 정신건강복지센터) 1층 양평군치매안심센터",031-771-5773
안심센터,춘천시 치매안심센터,강원 춘천시 스무숲길 4-46 치매안심센터,033-250-4579
안심센터,원주시 치매안심센터,"강원 원주시 지니기길 11-20 (무실동, 치매안심센터) 1층",033-737-4542
안심센터,강릉시 치매안심센터,"강원 강릉시 남부로17번길 38 (내곡동, 강릉시보건소) 강릉시치매안심센터",033-660-3049
안심센터,동해시 치매안심센터,"강원 동해시 발한로 227 (발한동, 묵호건강증진센터) 1층",033-530-2426
안심센터,태백시 치매안심센터,"강원 태백시 태백로 905 (황지동, 보건소) 태백시 보건소 내",033-550-3042
안심센터,속초시 치매안심센터,"강원 속초시 수복로 36 (교동, 속초시보건소) 속초시치매안심센터",033-639-2926
안심센터,삼척시 치매안심센터,"강원 삼척시 척주로 76 (남양동, 삼척시보건소) 삼척시보건소 치매안심센터",033-570-4663
안심센터,홍천군 치매안심센터,강원 홍천군 홍천읍 홍천로1길 9 (희망리) 홍천군치매안심센터,033-430-4032
안심센터,횡성군 치매안심센터,"강원 횡성군 횡성읍 횡성로 379 (읍하리, 횡성보건소) 횡성군치매안심센터",033-340-5653
안심센터,영월군 치매안심센터,강원도 영월군 하송로 46-43 영월군 치매안심센터,033-370-2774
안심센터,평창군 치매안심센터,강원 평창군 평창읍 종부로 61 (종부리) 평창군치매안심센터,033-330-4900
안심센터,정선군 치매안심센터,강원도 정선군 정선읍 녹송로 33 정선군보건소 치매안심센터,033-560-2914
안심센터,철원군 치매안심센터,강원도 철원군 갈말읍 군탄로 16 철원군보건소 2층 치매안심센터,033-450-5105
안심센터,화천군 치매안심센터,"강원 화천군 화천읍 강변로 111 (중리, 화천군보건의료원) 화천군치매안심센터",033-440-2834
안심센터,양구군 치매안심센터,강원도 양구군 양구읍 관공서로 42 치매안심센터 1층,033-480-2821
안심센터,인제군 치매안심센터,"강원 인제군 인제읍 인제로140번길 34 (남북리, 인제보건소)",033-460-2523
안심센터,고성군 치매안심센터,강원도 고성군 간성읍 수성로 30 치매안심센터,033-680-3798
안심센터,양양군 치매안심센터,"강원 양양군 양양읍 양양로 9-5 (연창리, 양양군보건소) 장애인회관및치매안심센터2층",033-670-2937
안심센터,청주시 상당구 치매안심센터,충북 청주시 상당구 남일면 단재로 480 (효촌리) 상당보건소 치매안심센터,043-201-4300
안심센터,청주시 서원구 치매안심센터,"충북 청주시 서원구 구룡산로 235 (수곡동, 위너스빌딩) 3층 치매안심센터",043-201-3720
안심센터,청주시 흥덕구 치매안심센터,"충북 청주시 흥덕구 대농로 88 (복대동, 흥덕보건소 본관) 2층",043-201-4320
안심센터,청주시 청원구 치매안심센터,"충북 청주시 청원구 오창읍 과학산업3로 238 (각리, 청원보건소) 치매안심센터",043-201-4361
안심센터,충주시 치매안심센터,"충북 충주시 사직산21길 34 (문화동, 충주시 건강복지타운) 2층 치매안심센터",043-850-1791
안심센터,제천시 치매안심센터,충북 제천시 의림대로 242 (청전동) 4층,043-641-3025
안심센터,보은군 치매안심센터,"충북 보은군 보은읍 임업길 22 (삼산리, 치매안심센터) 보은군치매안심센터",043-540-5642
안심센터,옥천군 치매안심센터,"충북 옥천군 옥천읍 가화4길 18 (금구리, 옥천군 치매안심센터) 옥천군치매안심센터",043-730-2158
안심센터,증평군 치매안심센터,"충북 증평군 증평읍 보건복지로 64-1 (내성리, 증평군보건소) 64-1",043-835-4783
안심센터,진천군 치매안심센터,충북 진천군 덕산읍 연미로 29 (두촌리) 진천군치매안심센터,043-539-7782
안심센터,괴산군 치매안심센터,"충북 괴산군 괴산읍 동진천길 43 (동부리, 괴산군보건소) 괴산군치매안심센터",043-830-2392
안심센터,음성군 치매안심센터,"충북 음성군 음성읍 중앙로 49 (읍내리, 음성보건소) 음성군 치매안심센터",043-871-2971
안심센터,단양군 치매안심센터,"충북 단양군 단양읍 수변로 83 (도전리, 단양군노인회관) 1층",043-420-3312
안심센터,영동군 치매안심센터,"충북 영동군 영동읍 반곡동길 7 (매천리, 영동군보건소)",043-740-5946
안심센터,천안시 동남구 치매안심센터,"충남 천안시 동남구 버들로 40 (문화동, 동남구보건소,교통정보센터) 7층 치매안심센터",041-521-3343
안심센터,천안시 서북구 치매안심센터,"충남 천안시 서북구 서부8길 29 (성정동, 성정2동 행정복지센터) 1층",041-521-5740
안심센터,공주시 치매안심센터,충남 공주시 옛군청뒷길 8 (교동) 교동131,041-840-8811
안심센터,보령시 치매안심센터,충남 보령시 대천로 119 (죽정동),041-930-6871
안심센터,아산시 치매안심센터,"충남 아산시 번영로216번길 18 (모종동, 아산시보건소) 별관 2, 3층",041-537-3477
안심센터,서산시 치매안심센터,"충남 서산시 호수공원6로 6 (예천동, 서산시보건소) 서산시치매안심센터",041-661-6598
안심센터,논산시 치매안심센터,충남 논산시 논산대로 408 (관촉동) 논산시 치매안심센터,041-746-6921
안심센터,계룡시 치매안심센터,"충남 계룡시 장안로 54 (금암동, 계룡시보건소) 치매안심센터",042-840-3681
안심센터,당진시 치매안심센터,"충남 당진시 서부로 56 (채운동, 당진시보건소) 채운동 1040",041-360-6075
안심센터,금산군 치매안심센터,"충남 금산군 금산읍 비범1길 5 (중도리, 치매안심센터)",041-750-4171
안심센터,부여군 치매안심센터,"충남 부여군 부여읍 성왕로 205 (구아리, 부여군 보건소) 3층",041-830-8740
안심센터,서천군 치매안심센터,충남 서천군 서천읍 사곡길 20-2 (군사리) 서천군 치매안심센터,041-950-6741
안심센터,청양군 치매안심센터,"충남 청양군 청양읍 칠갑산로7길 54 (읍내리, 청양군보건의료원) 청양군보건의료원 치매안심센터",041-940-4551
안심센터,홍성군 치매안심센터,"충남 홍성군 홍성읍 문화로 106 (오관리, 홍성군보건소) 홍성군보건소 치매안심센터",041-630-9766
안심센터,예산군 치매안심센터,"충남 예산군 예산읍 군청로 22 (예산리, 예산군청) 보건소 5층",041-339-6123
안심센터,태안군 치매안심센터,"충남 태안군 태안읍 서해로 1952-16 (평천리, 태안군보건의료원) 태안읍 평천리",041-671-5228
안심센터,군산시 치매안심센터,"전북 군산시 공단대로 482 (나운동, 군산시치매안심센터) 1~3층",063-454-5870
안심센터,익산시 치매안심센터,전북 익산시 동서로 91 (모현동2가) 서부권다목적체육관 3층 치매안심센터,063-859-4085
안심센터,정읍시 치매안심센터,전북 정읍시 금붕1길 215 (금붕동) 정읍시 치매안심센터,063-539-6951
안심센터,남원시 치매안심센터,"전북 남원시 요천로 1285 (조산동, 남원시보건소) 치매안심센터",063-620-5530
안심센터,김제시 치매안심센터,전북 김제시 동서8길 52 (요촌동) 김제시치매안심센터,063-540-1327
안심센터,완주군 치매안심센터,전북 완주군 삼례읍 삼봉8로 10-12 (수계리) 완주군 치매안심센터,063-290-4373
안심센터,진안군 치매안심센터,"전북 진안군 진안읍 진무로 1189 (군상리, 진안보건소) 진안군 보건소 2층",063-430-8588
안심센터,무주군 치매안심센터,"전북 무주군 무주읍 한풍루로 413 (당산리, 무주군보건의료원) 4층",063-320-8601
안심센터,장수군 치매안심센터,전라북도 장수군 장수읍 장천로 255-10 치매안심센터,063-350-2677
안심센터,임실군 치매안심센터,전라북도 임실군 임실읍 호국로 1680 치매안심센터,063-640-3373
안심센터,순창군 치매안심센터,전북 순창군 순창읍 순창로 127 (가남리) 행복누리센터 내 치매안심센터,063-650-5271
안심센터,고창군 치매안심센터,"전북 고창군 고창읍 전봉준로 90 (율계리, 고창군보건소) 고창군치매안심센터",063-560-8725
안심센터,부안군 치매안심센터,"전북 부안군 부안읍 오리정로 124 (봉덕리, 보건소) 치매안심센터",063-580-3066
안심센터,목포시 치매안심센터,전남 목포시 수문로 32 (남교동) 트윈스타 3층 목포시치매안심센터,061-270-4271~2
안심센터,여수시 치매안심센터,전남 여수시 신월로 794 (봉강동) 여수시치매안심센터,061-659-5440
안심센터,순천시 치매안심센터,"전남 순천시 중앙로 232 (석현동, 순천시문화건강센터) 순천시치매안심센터",061-749-8888
안심센터,나주시 치매안심센터,전라남도 나주시 이창동 풍물시장2길 57-32 나주시보건소 치매안심센터,061-339-4790
안심센터,광양시 치매안심센터,"전남 광양시 광양읍 호북길 13-3 (칠성리, 치매안심센터) 광양시치매안심센터",061-797-4059
안심센터,담양군 치매안심센터,전남 담양군 담양읍 완동길 10-5 (만성리) 1층,061-380-2963
안심센터,곡성군 치매안심센터,전남 곡성군 곡성읍 곡성로 854 (읍내리) 치매안심센터,061-360-8980
안심센터,구례군 치매안심센터,전남 구례군 구례읍 동편제길 30 (백련리) 구례군 보건의료원 치매안심센터,061-780-2026
안심센터,고흥군 치매안심센터,전라남도 고흥군 고흥읍 등암3길 5 고흥군보건소,061-830-6969
안심센터,보성군 치매안심센터,전남 보성군 보성읍 갱맹골길 206(주봉리 529번지) 보성치매안심센터,061-850-8695
안심센터,화순군 치매안심센터,"전남 화순군 화순읍 충의로 40 (삼천리, 치매안심센터) 화순군치매안심센터",061-379-5317
안심센터,장흥군 치매안심센터,"전남 장흥군 장흥읍 동교1길 13 (건산리, 장흥군선거관리위원회) 치매안심센터 1층",061-860-6498
안심센터,강진군 치매안심센터,"전남 강진군 강진읍 목리길 11 (동성리, 강진군보건소) 치매안심센터",061-430-5294
안심센터,해남군 치매안심센터,전라남도 해남군 해남읍 해남로 46 해남군 치매안심센터,061-531-3703~10
안심센터,영암군 치매안심센터,"전남 영암군 영암읍 오리정길 39 (춘양리, 영암군보건소) 영암군치매안심센터",061-470-6030
안심센터,무안군 치매안심센터,"전남 무안군 무안읍 불무로 38-9 (교촌리, 무안군 치매안심센터) 무안군치매안심센터",061-450-5075
안심센터,함평군 치매안심센터,"전남 함평군 함평읍 중앙길 54-8 (기각리, 함평보건소) 치매안심센터",061-320-2391
안심센터,영광군 치매안심센터,전남 영광군 영광읍 신남로4길 17 (남천리) 치매안심센터,061-350-4806
안심센터,장성군 치매안심센터,"전남 장성군 장성읍 성산5길 17 (성산리, 장성군 치매안심센터) 장성군 치매안심센터",061-390-7161~70
